[chain v4b] starting at Mon May  4 13:21:27 CDT 2026 — mkdir-based seqan3 lock (Git Bash lacks flock)
[13:21:39] [chain v4] ===== chain v4 launch =====
[13:21:39] [chain v4] [E0] strand start
[13:21:39] [chain v4] [main] strands launched: E0=49590 E1S=49592 E2=49593
[17:38:02] [chain v4] [E0] still waiting for SEQAN3_LOCK (15120s)
[17:39:02] [chain v4] [E0] still waiting for SEQAN3_LOCK (15180s)
[17:40:03] [chain v4] [E0] still waiting for SEQAN3_LOCK (15240s)
[17:41:04] [chain v4] [E0] still waiting for SEQAN3_LOCK (15300s)
[17:42:04] [chain v4] [E0] still waiting for SEQAN3_LOCK (15360s)
[17:43:05] [chain v4] [E0] still waiting for SEQAN3_LOCK (15420s)
[17:44:06] [chain v4] [E0] still waiting for SEQAN3_LOCK (15480s)
[17:45:06] [chain v4] [E0] still waiting for SEQAN3_LOCK (15540s)
[17:46:07] [chain v4] [E0] still waiting for SEQAN3_LOCK (15600s)
[17:47:08] [chain v4] [E0] still waiting for SEQAN3_LOCK (15660s)
[17:47:36] [chain v4] [E2] released SEQAN3_LOCK
[17:47:36] [chain v4] [E2] E2/reps done rc=0 elapsed=265min
[17:47:36] [chain v4] [E2] strand complete
[17:47:38] [chain v4] [E0] acquired SEQAN3_LOCK
[20:57:53] [chain v4] [E0] released SEQAN3_LOCK
[20:57:53] [chain v4] [E0] E0/a done rc=0 elapsed=456min
[20:57:53] [chain v4] [E0] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E0_baseline/results_4big_runs/run_b/biopython_sam
[20:58:07] [chain v4] [E0] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E0_baseline/results_4big_runs/run_b/vcfpy_vcf
[20:58:08] [chain v4] [E0] launching E0/b cells=biopython_sam vcfpy_vcf (has_seqan3=0)
[01:28:25] [chain v4] [E0] E0/b done rc=0 elapsed=270min
[01:28:25] [chain v4] [E0] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E0_baseline/results_4big_runs/run_c/biopython_sam
[01:28:34] [chain v4] [E0] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E0_baseline/results_4big_runs/run_c/vcfpy_vcf
[01:28:38] [chain v4] [E0] launching E0/c cells=biopython_sam vcfpy_vcf (has_seqan3=0)
[05:58:53] [chain v4] [E0] E0/c done rc=0 elapsed=270min
[05:58:53] [chain v4] [E0] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E0_baseline/results_4big_runs/run_d/biopython_sam
[05:59:02] [chain v4] [E0] nuking C:/Users/miaot/Github/BioTest/compares/ApplicationStudy/E0_baseline/results_4big_runs/run_d/vcfpy_vcf
